X,Y,Label
-86.9,32.9,AL
-154.2,65.1,AK
-111.6,34.2,AZ
-92.4,34.8,AR
-119.5,36.5,CA
-105.4,38.8,CO
-72.7,41.6,CT
-75.4,38.7,DE
-81.7,28,FL
-83.3,32.5,GA
-154.7,20.1,HI
-114.6,43.7,ID
-89.15,39.76,IL
-86.1,39.8,IN
-94.03,42.13,IA
-98.3,38.4,KS
-85,37.6,KY
-92.45,30.5,LA
-69.3,45.2,ME
-76.7,39.1,MD
-72.2,42.4,MA
-84.6,43,MI
-94.76,46.32,MN
-89.8,32.9,MS
-92.5,38.2,MO
-109.3,46.9,MT
-99.7,41.5,NE
-117,39.3,NV
-71.7,43.4,NH
-74.5,40.1,NJ
-106.1,34.3,NM
-75.3,43,NY
-79.2,35.6,NC
-100.2,47.1,ND
-82.6,40.2,OH
-97.2,35.5,OK
-120.3,43.9,OR
-77.7,40.8,PA
-71.6,41.7,RI
-80.8,33.8,SC
-100.3,44.5,SD
-86,35.8,TN
-98.8,31.4,TX
-111.6,39,UT
-78.7,37.6,VA
-120.3,47.4,WA
-81,38.6,WV
-90.54,44.86,WI
-107.4,42.9,WY
-72.7,44.3,VT

