ID,LABEL,LON,LAT
1,AL,-90.00,41.00
2,AK,-90.00,41.00
3,AZ,-90.00,41.00
4,AR,-90.00,41.00
5,CA,-90.00,41.00
6,CO,-90.00,41.00
7,CT,-90.00,41.00
8,DE,-90.00,41.00
9,FL,-90.00,41.00
10,GA,-90.00,41.00
11,HI,-90.00,41.00
12,ID,-90.00,41.00
13,IL,-89.15,39.76
14,IN,-90.00,41.00
15,IA,-94.03,42.13
16,KS,-90.00,41.00
17,KY,-90.00,41.00
18,LA,-90.00,41.00
19,ME,-90.00,41.00
20,MD,-90.00,41.00
21,MA,-90.00,41.00
22,MI,-90.00,41.00
23,MN,-94.76,46.32
24,MS,-90.00,41.00
25,MO,-90.00,41.00
26,MT,-90.00,41.00
27,NE,-90.00,41.00
28,NV,-90.00,41.00
29,NH,-90.00,41.00
30,NJ,-90.00,41.00
31,NM,-90.00,41.00
32,NY,-90.00,41.00
33,NC,-90.00,41.00
34,ND,-90.00,41.00
35,OH,-90.00,41.00
36,OK,-90.00,41.00
37,OR,-90.00,41.00
38,PA,-90.00,41.00
39,RI,-90.00,41.00
40,SC,-90.00,41.00
41,SD,-90.00,41.00
42,TN,-90.00,41.00
43,TX,-90.00,41.00
44,UT,-90.00,41.00
45,VA,-90.00,41.00
46,WA,-90.00,41.00
47,WV,-90.00,41.00
48,WI,-90.00,44.86
49,WY,-90.00,41.00
50,VT,-90.00,41.00
